update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
75,450000,106575.47385464841,0.0,0.0,0.2375,0.34375,0.09375,0.0,5.399999999999693,0.4617840106367466,0.16574736336302948,0.5304166666666666,0.0011731293168850243,0.1955812692642212,2.1174328088760377,0.005172755791510752,6.744225016356949e-05,1802.4992101192474
76,456000,200171.55341716704,0.0,0.0,0.45,0.53125,0.34375,0.25,2.2166666666665473,0.4678754441719173,0.1716997518979795,0.5393,-0.004433330139727331,0.3259532742202282,2.1150559425354003,0.01778173650371535,6.262610478227531e-05,1832.128489971161
77,462000,167551.14309669123,0.0,0.0,0.375,0.53125,0.21875,0.125,2.1749999999998844,0.46968937919927367,0.1729141199952421,0.5321333333333333,-0.005624071985948831,0.2832703307271004,2.1128871917724608,0.02201183395457775,5.794545457817988e-05,1862.2607636451721
78,468000,178133.1697790773,0.0,0.0,0.4,0.5,0.25,0.1875,2.0593749999998963,0.47282914980835883,0.1762508079286786,0.52895,-0.005664508847985417,0.29279819801449775,2.1111322164535524,0.02414188295030346,5.340751677463759e-05,1892.1917114257812
79,474000,139732.5201253615,0.0,0.0,0.3125,0.375,0.25,0.15625,2.352083333333206,0.4707254974804903,0.17355126904386078,0.525825,-0.004856707534054294,0.2385427862405777,2.109719717502594,0.01743499525248462,4.901928854282526e-05,1922.2250871658325
80,480000,123566.04535800219,0.0,0.0,0.275,0.40625,0.125,0.03125,4.787499999999728,0.46786442793376776,0.16977011285159377,0.5294666666666666,-0.005766264221165329,0.21589629650115966,2.1080679416656496,0.021291001760003425,4.4787536212611175e-05,1952.236008644104
81,486000,112187.71032010764,0.0,0.0,0.25,0.28125,0.125,0.09375,2.266666666666539,0.46274835051800567,0.1620603298223897,0.5336083333333334,-0.006988707155687735,0.2027384892106056,2.1064595341682435,0.024117401429681707,4.071878483936501e-05,1982.2034237384796
82,492000,156329.82675846742,0.0,0.0,0.35,0.46875,0.1875,0.09375,3.6749999999997964,0.4651480533892031,0.16390178806695369,0.5386583333333334,-0.005343566590454429,0.2759672820568085,2.1049696445465087,0.020932675339356166,3.681930814279539e-05,2012.2366642951965
83,498000,145475.9616720567,0.0,0.0,0.325,0.40625,0.15625,0.09375,3.568749999999803,0.465755923731016,0.1645039162981011,0.5356833333333333,-0.005132021571625955,0.2551552467048168,2.10399808883667,0.020670715280501108,3.309511883332863e-05,2047.4818332195282
84,504000,123186.81470674537,0.0,0.0,0.275,0.40625,0.125,0.0625,3.466666666666478,0.46402857193441366,0.16177881536139962,0.5320583333333333,-0.005154891684651375,0.2213107854127884,2.103109073638916,0.02497750589319194,2.9551959340945387e-05,2078.1468703746796
85,510000,161748.89369359333,0.0,0.0,0.36249999999999993,0.5,0.21875,0.15625,2.68333333333319,0.46605720973394116,0.16526317290889403,0.5377583333333333,-0.0021068127360194923,0.27790121287107467,2.1021525740623472,0.018701926991695927,2.619529296076953e-05,2111.5053145885468
86,516000,172409.25845369487,0.0,0.0,0.38750000000000007,0.53125,0.25,0.25,0.12083333333333238,0.4712342364759697,0.17191349893907498,0.5353583333333334,-0.003857512469403446,0.29194260239601133,2.101473879814148,0.012816608711384857,2.3030295429063227e-05,2143.101106405258
87,522000,189138.46672010957,0.0,0.0,0.425,0.5,0.34375,0.25,2.405208333333202,0.47563071746645524,0.17764758484404922,0.5291583333333333,-0.005501552530040499,0.32055828124284746,2.100790548324585,0.02177081286508198,2.0061846942616862e-05,2172.634374141693
88,528000,156211.3012637553,0.0,0.0,0.35,0.46875,0.1875,0.0625,3.0812499999998266,0.4763023490996822,0.17791869283154813,0.5237416666666667,-0.005956822534790263,0.2730597801506519,2.1002031922340394,0.02160269612859018,1.729452463383902e-05,2202.7743520736694
89,534000,128994.82929549902,0.0,0.0,0.2875,0.40625,0.15625,0.09375,3.4749999999998056,0.4737695637306766,0.17453700955914098,0.5227416666666667,-0.006681897136149928,0.23144813999533653,2.0995678067207337,0.020936032995036415,1.4732595513150342e-05,2233.012496471405
90,540000,156516.03182905028,0.0,0.0,0.35,0.40625,0.21875,0.125,2.8937499999998444,0.4747378823983001,0.17524858615861433,0.52675,-0.003312723123235628,0.27828823700547217,2.0989463448524477,0.023669737704506044,1.2380009889562637e-05,2262.908647298813
91,546000,189264.129896448,0.0,0.0,0.425,0.5,0.34375,0.28125,1.369791666666596,0.47914905184699386,0.1805620487316021,0.523525,-0.003307155391667038,0.32209214866161345,2.098397767543793,0.005015209533264198,1.0240395279588622e-05,2292.85329580307
92,552000,183890.10921555228,0.0,0.0,0.41250000000000003,0.5,0.3125,0.1875,3.0458333333331655,0.4818391513727778,0.18428474751430543,0.520025,-0.00380872214154806,0.3124528475105762,2.0978797912597655,0.025392837056464845,8.31705081387455e-06,2322.50629734993
93,558000,129106.41318138537,0.0,0.0,0.2875,0.40625,0.15625,0.0625,4.343749999999753,0.47793091363895,0.1787300060671424,0.51765,-0.0040835773572325705,0.23619501888751984,2.09752414226532,0.0023567753730667105,6.612942150179751e-06,2352.0527889728546
94,564000,156362.04232289566,0.0,0.0,0.35,0.4375,0.21875,0.09375,4.01874999999978,0.47774593261202514,0.17775773977501547,0.5218333333333334,-0.006816036900272593,0.278658776730299,2.097054100036621,0.024724451994982834,5.130696900547356e-06,2381.8143541812897
